,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
40,0610101.001,"[[-73.990623, 40.750992], [-73.987937, 40.749855], [-73.98778, 40.749772], [-73.987973, 40.749491], [-73.98827, 40.749148], [-73.988714, 40.748512999999996], [-73.989166, 40.747895], [-73.989617, 40.747277], [-73.992463, 40.748469], [-73.995299, 40.749671], [-73.994844, 40.750293], [-73.993464, 40.75219], [-73.990623, 40.750992]]",1116,        175518,1159,217,1116,503,495,115,1116,41,495,486
41,0610103.001,"[[-74.00094299999999, 40.752105], [-74.00052699999999, 40.752688], [-73.999633, 40.753918], [-73.999143, 40.754585], [-73.996304, 40.753389], [-73.993464, 40.75219], [-73.994844, 40.750293], [-73.995299, 40.749671], [-73.99812, 40.750903], [-73.999723, 40.751653999999995], [-74.00094299999999, 40.752105]]",2058,        172650,2125,127,2058,1517,1328,367,2058,63,1328,1214
42,0610104.001,"[[-73.974457, 40.762293], [-73.974915, 40.761666999999996], [-73.97537299999999, 40.76104], [-73.976744, 40.759164999999996], [-73.977655, 40.757912], [-73.980886, 40.75927], [-73.980426, 40.759899], [-73.978601, 40.762395999999995], [-73.97768599999999, 40.763645], [-73.974457, 40.762293]]",966,        173232,989,32,966,504,627,71,966,21,627,344
43,0610106.011,"[[-73.960182, 40.758037], [-73.96243199999999, 40.758981], [-73.96196599999999, 40.759619], [-73.959722, 40.758663], [-73.960182, 40.758037]]",1106,         17441,1120,15,1106,307,586,33,1106,13,586,134
44,0610106.012,"[[-73.960182, 40.758037], [-73.96067099999999, 40.757363999999995], [-73.962925, 40.758309], [-73.96243199999999, 40.758981], [-73.960182, 40.758037]]",1069,         18550,1091,10,1069,490,650,62,1069,22,650,297
45,0610106.014,"[[-73.96162199999999, 40.756059], [-73.963871, 40.757008], [-73.96341199999999, 40.757636999999995], [-73.961158, 40.756688], [-73.96162199999999, 40.756059]]",1152,         17387,1152,3,1152,411,708,31,1152,0,708,24
46,0610106.015,"[[-73.963871, 40.757008], [-73.96162199999999, 40.756059], [-73.9621, 40.755455], [-73.964325, 40.756381], [-73.963871, 40.757008]]",1498,         17008,1521,33,1498,723,951,91,1498,21,951,641
47,0610106.016,"[[-73.959722, 40.758663], [-73.95907199999999, 40.758398], [-73.95872899999999, 40.758165999999996], [-73.95859899999999, 40.758133], [-73.960527, 40.755596], [-73.96120499999999, 40.755041999999996], [-73.96143, 40.755145], [-73.9621, 40.755455], [-73.96162199999999, 40.756059], [-73.961158, 40.756688], [-73.96067099999999, 40.757363999999995], [-73.960182, 40.758037], [-73.959722, 40.758663]]",1166,         43326,1178,8,1166,344,674,38,1166,12,674,29
48,0610106.022,"[[-73.96196599999999, 40.759619], [-73.961522, 40.760231], [-73.960607, 40.761488], [-73.96015, 40.762115], [-73.957888, 40.761175], [-73.958356, 40.760539], [-73.959722, 40.758663], [-73.96196599999999, 40.759619]]",2300,         69153,2364,32,2300,813,1187,145,2300,61,1187,983
49,0610108.001,"[[-73.96243199999999, 40.758981], [-73.964005, 40.759648999999996], [-73.964801, 40.759982], [-73.964332, 40.760602999999996], [-73.96196599999999, 40.759619], [-73.96243199999999, 40.758981]]",781,         18297,793,13,781,415,508,54,781,11,508,318
50,0610108.002,"[[-73.964503, 40.758973999999995], [-73.965293, 40.759308], [-73.964801, 40.759982], [-73.964005, 40.759648999999996], [-73.96243199999999, 40.758981], [-73.962925, 40.758309], [-73.964503, 40.758973999999995]]",1330,         19611,1341,19,1330,647,836,94,1330,11,836,372
51,0610108.004,"[[-73.966239, 40.758008], [-73.965783, 40.758632], [-73.96341199999999, 40.757636999999995], [-73.963871, 40.757008], [-73.966239, 40.758008]]",801,         18200,811,5,801,225,408,29,801,10,408,316
52,0610108.005,"[[-73.966239, 40.758008], [-73.963871, 40.757008], [-73.964325, 40.756381], [-73.966702, 40.757380999999995], [-73.966239, 40.758008]]",1101,         18249,1123,32,1101,719,767,94,1101,22,767,628
