,lat,lng,price,htype,comm
369,41.80249,-87.60942,160000.0,Condo,Grand Boulevard
370,42.005188,-87.66383,115000.0,Condo,Rogers Park
371,41.909683,-87.66976,270500.0,Condo,Wicker Park
372,41.933758,-87.678505,417000.0,Condo,Roscoe Village
373,41.79192,-87.58932,495000.0,Townhouse,Hyde Park
374,41.896347,-87.69707,335000.0,Condo,West Town
375,42.009525,-87.68163,65000.0,Condo,Rogers Park
376,41.87365,-87.684845,161000.0,Condo,Tri-Taylor
377,41.89997,-87.6984,355000.0,Condo,West Town
378,41.921474,-87.65391,699500.0,Condo,DePaul
379,41.879524,-87.65244,395000.0,Condo,
380,41.897907,-87.67186,360000.0,Condo,Goose Island
381,41.954136,-87.64594,140000.0,Condo,
382,41.971375,-87.655876,192500.0,Condo,Uptown
383,41.95244,-87.79459,80000.0,Condo,Dunning
384,41.996704,-87.66607,200000.0,Condo,Edgewater
385,41.899834,-87.62081,405000.0,Condo,Near North Side
386,41.961243,-87.676414,185000.0,Condo,Ravenswood
387,42.00077,-87.681786,60000.0,Condo,West Rogers Park
388,41.996807,-87.65486,130000.0,Condo,Edgewater
389,41.945786,-87.64406,132000.0,Condo,
390,41.93708,-87.64659,466500.0,Condo,
391,41.920918,-87.67849,639500.0,Condo,Bucktown
392,41.893143,-87.62064,440000.0,Condo,Near North Side
393,41.89296,-87.67365,299000.0,Condo,Ukranian Village
394,42.003227,-87.663345,66500.0,Condo,Rogers Park
395,41.933605,-87.7917,160000.0,Townhouse,Montclare
396,41.934383,-87.67421,380000.0,Condo,Roscoe Village
397,41.81905,-87.60514,160000.0,Condo,Oakland
398,41.877457,-87.6469,236000.0,Condo,Greektown
399,41.909607,-87.63247,377500.0,Condo,Near North Side
400,42.021442,-87.66704,67500.0,Condo,Rogers Park
401,41.893677,-87.641045,295000.0,Condo,Near North Side
402,41.920414,-87.63844,440000.0,Condo,Lincoln Park
403,41.90088,-87.629486,3625000.0,Condo,Near North Side
404,41.915897,-87.651215,551000.0,Condo,DePaul
405,41.883556,-87.6342,281200.0,Condo,Loop
406,41.99283,-87.681984,96000.0,Condo,West Rogers Park
407,41.935863,-87.67277,615000.0,Townhouse,
408,41.98507,-87.65706,135000.0,Condo,Edgewater
409,41.99761,-87.66212,242000.0,Condo,Edgewater
410,41.865883,-87.65538,315000.0,Condo,University Village / Little Italy
411,41.93138,-87.66249,603500.0,Condo,DePaul
412,41.94076,-87.64977,315000.0,Condo,
413,41.951687,-87.82667,125000.0,Townhouse,Dunning
414,41.988735,-87.65469,242500.0,Condo,
415,41.898716,-87.62094,683000.0,Condo,Near North Side
416,41.913677,-87.66984,296500.0,Condo,Wicker Park
417,41.964466,-87.706116,100000.0,Condo,Albany Park
418,41.777756,-87.76361,163000.0,Condo,Clearing
419,41.93081,-87.64001,215000.0,Condo,Lincoln Park
420,41.89271,-87.66602,255000.0,Condo,Goose Island
421,41.777275,-87.75595,73000.0,Townhouse,Clearing
422,41.89455,-87.63521,263000.0,Condo,Near North Side
423,41.94013,-87.686,619000.0,Condo,Roscoe Village
424,41.908245,-87.62974,261000.0,Condo,Near North Side
425,41.855724,-87.62597,353000.0,Condo,Near South Side
426,41.995308,-87.666756,182500.0,Condo,Edgewater
427,41.954105,-87.648476,235000.0,Condo,
428,41.928818,-87.70389,340000.0,Condo,Logan Square
429,41.88488,-87.61794,745000.0,Condo,Loop
430,41.91804,-87.63696,240000.0,Condo,Lincoln Park
431,41.89979,-87.623505,960000.0,Condo,Near North Side
432,41.89904,-87.6573,355000.0,Condo,Goose Island
433,41.866253,-87.62304,299000.0,Condo,Near South Side
434,41.942905,-87.68188,465000.0,Condo,Roscoe Village
435,41.88488,-87.61794,587000.0,Condo,Loop
436,41.90603,-87.63412,355000.0,Condo,Near North Side
437,41.947975,-87.643776,170000.0,Condo,
438,41.90121,-87.62804,195000.0,Condo,Near North Side
439,41.952923,-87.655785,295000.0,Condo,
440,41.923424,-87.64724,305000.0,Condo,Lincoln Park
441,41.94634,-87.65084,563000.0,Condo,
442,41.95878,-87.64837,227000.0,Condo,Uptown
443,41.921524,-87.63763,1178000.0,Condo,Lincoln Park
444,41.936497,-87.65741,250000.0,Condo,
445,41.96152,-87.69632,338000.0,Condo,Albany Park
446,41.88485,-87.62751,450000.0,Condo,Loop
447,41.991783,-87.6729,240000.0,Condo,Edgewater
448,41.999493,-87.700645,47000.0,Condo,West Rogers Park
449,41.93221,-87.64144,185000.0,Condo,Lincoln Park
450,41.96438,-87.71098,257000.0,Condo,Albany Park
451,41.981674,-87.65449,107000.0,Condo,Edgewater
452,41.957466,-87.65145,438000.0,Condo,Uptown
453,41.918453,-87.71047,140000.0,Condo,Logan Square
454,41.981674,-87.65449,245000.0,Condo,Edgewater
455,41.957436,-87.73048,305000.0,Condo,Irving Park
456,41.94082,-87.66345,603500.0,Condo,
457,41.805183,-87.62128,85000.0,Condo,Grand Boulevard
458,41.954136,-87.64594,137000.0,Condo,
459,41.90705,-87.62967,230000.0,Condo,Near North Side
460,41.980312,-87.65444,235000.0,Condo,Edgewater
461,41.865578,-87.628265,585000.0,Townhouse,Near South Side
462,41.86831,-87.66267,387500.0,Condo,University Village / Little Italy
463,41.90524,-87.63225,206000.0,Condo,Near North Side
464,41.910564,-87.68116,420000.0,Condo,Wicker Park
465,41.96633,-87.73596,169000.0,Condo,Albany Park
466,41.876274,-87.65037,262000.0,Condo,
467,41.890392,-87.71205,102500.0,Condo,Humboldt Park
468,41.947975,-87.643776,193500.0,Condo,
469,41.984245,-87.657036,49000.0,Condo,Edgewater
470,41.97646,-87.70034,105000.0,Condo,Lincoln Square
471,41.949047,-87.644264,119000.0,Condo,
472,41.921906,-87.80346,47500.0,Condo,Galewood
473,41.955353,-87.69863,47000.0,Condo,Irving Park
474,41.938206,-87.647255,460000.0,Condo,
475,42.013454,-87.68392,55000.0,Condo,West Rogers Park
476,41.876873,-87.64923,394500.0,Condo,
477,41.9948,-87.65796,48500.0,Condo,Edgewater
478,42.00017,-87.66764,175000.0,Condo,Rogers Park
479,41.888836,-87.63192,241000.0,Condo,Near North Side
480,41.984035,-87.67136,240000.0,Condo,Edgewater
481,41.889793,-87.62605,327000.0,Condo,Near North Side
482,41.887695,-87.643616,212000.0,Condo,
483,41.904797,-87.62909,452000.0,Condo,Near North Side
484,41.949326,-87.67843,385000.0,Condo,North Center
485,41.945564,-87.664154,699000.0,Condo,
486,41.91741,-87.64815,630000.0,Condo,Lincoln Park
487,41.904655,-87.62964,192000.0,Condo,Near North Side
488,41.91497,-87.63519,432000.0,Condo,Lincoln Park
489,41.964745,-87.653305,249000.0,Condo,Uptown
490,41.98105,-87.65449,115000.0,Condo,Edgewater
491,41.870644,-87.660904,465000.0,Townhouse,University Village / Little Italy
492,41.890495,-87.654945,364000.0,Condo,Goose Island
493,41.8857,-87.713905,149000.0,Townhouse,East Garfield Park
494,41.916824,-87.638115,796500.0,Condo,Lincoln Park
495,41.8702,-87.62474,195000.0,Condo,Loop
496,41.962017,-87.67128,266500.0,Condo,Ravenswood
497,41.91874,-87.64348,317000.0,Townhouse,Lincoln Park
498,41.875008,-87.631226,530000.0,Condo,Loop
499,41.91012,-87.6834,235000.0,Condo,Wicker Park
500,41.938953,-87.65806,217000.0,Condo,
501,41.90945,-87.786804,102500.0,Condo,Galewood
502,41.88057,-87.65677,550000.0,Condo,
503,41.895405,-87.69274,349000.0,Condo,West Town
504,41.88485,-87.62751,308000.0,Condo,Loop
505,41.92975,-87.66791,395000.0,Condo,DePaul
